[2019-11-16 21:51:28.600] temperature (C), humidity (% relative), pressure (hPa)        
[2019-11-16 21:51:33.069] ,-2,22,1074                   
[2019-11-16 21:51:45.662] ,-2,22,1074                   
[2019-11-16 21:51:58.256] ,-2,22,1074                   
[2019-11-16 21:52:10.851] ,-2,23,1074                   
[2019-11-16 21:52:23.444] ,-2,22,1074                   
[2019-11-16 21:52:36.038] ,-2,23,1074                   
[2019-11-16 21:52:48.632] ,-2,23,1074                   
[2019-11-16 21:53:01.225] ,-2,23,1074                   
[2019-11-16 21:53:13.819] ,-2,23,1074                   
[2019-11-16 21:53:26.414] ,-2,23,1074                   
[2019-11-16 21:53:39.008] ,-2,23,1074                   
[2019-11-16 21:53:51.601] ,-2,23,1074                   
[2019-11-16 21:54:04.195] ,-2,23,1074                   
[2019-11-16 21:54:16.789] ,-2,23,1074                   
[2019-11-16 21:54:29.389] ,-2,23,1074                   
[2019-11-16 21:54:41.983] ,-2,23,1074                   
[2019-11-16 21:54:54.578] ,-2,23,1074                   
[2019-11-16 21:55:07.171] ,-2,23,1074                   
[2019-11-16 21:55:19.764] ,-2,23,1074                   
[2019-11-16 21:55:32.358] ,-2,23,1074                   
[2019-11-16 21:55:44.953] ,-2,23,1074                   
[2019-11-16 21:55:57.547] ,-2,23,1074                   
[2019-11-16 21:56:10.140] ,-2,23,1074                   
[2019-11-16 21:56:22.734] ,-2,23,1074                   
[2019-11-16 21:56:35.327] ,-2,23,1074                   
[2019-11-16 21:56:47.921] ,-2,23,1074                   
[2019-11-16 21:57:00.516] ,-2,23,1074                   
[2019-11-16 21:57:13.115] ,-2,23,1074                   
[2019-11-16 21:57:25.710] ,-2,23,1074                   
[2019-11-16 21:57:38.303] ,-2,23,1074                   
[2019-11-16 21:57:50.897] ,-2,23,1074                   
[2019-11-16 21:58:03.491] ,-2,23,1074                   
[2019-11-16 21:58:16.090] ,-2,23,1074                   
[2019-11-16 21:58:28.686] ,-2,23,1074                   
[2019-11-16 21:58:41.279] ,-2,23,1074                   
[2019-11-16 21:58:53.872] ,-2,23,1074                   
[2019-11-16 21:59:06.466] ,-2,23,1074                   
[2019-11-16 21:59:19.061] ,-2,23,1074                   
[2019-11-16 21:59:31.654] ,-2,23,1074                   
[2019-11-16 21:59:44.249] ,-2,23,1074                   
[2019-11-16 21:59:56.842] ,-2,23,1074                   
[2019-11-16 22:00:09.437] ,-2,23,1074                   
[2019-11-16 22:00:22.029] ,-2,22,1074                   
[2019-11-16 22:00:34.624] ,-2,23,1074                   
[2019-11-16 22:00:47.217] ,-2,23,1074                   
[2019-11-16 22:00:59.811] ,-2,23,1074                   
[2019-11-16 22:01:12.406] ,-2,22,1074                   
[2019-11-16 22:01:24.999] ,-2,22,1074                   
[2019-11-16 22:01:37.592] ,-2,22,1074                   
[2019-11-16 22:01:50.188] ,-2,22,1074                   
[2019-11-16 22:02:02.782] ,-2,22,1074                   
[2019-11-16 22:02:15.374] ,-2,22,1074                   
[2019-11-16 22:02:27.968] ,-2,22,1074                   
[2019-11-16 22:02:40.563] ,-2,22,1074                   
[2019-11-16 22:02:53.156] ,-2,22,1074                   
[2019-11-16 22:03:05.750] ,-2,22,1074                   
[2019-11-16 22:03:18.344] ,-2,22,1074                   
[2019-11-16 22:03:30.946] ,-2,22,1074                   
[2019-11-16 22:03:43.545] ,-2,22,1074                   
[2019-11-16 22:03:56.140] ,-2,22,1074                   
[2019-11-16 22:04:08.733] ,-2,22,1074                   
[2019-11-16 22:04:21.325] ,-2,22,1074                   
[2019-11-16 22:04:33.920] ,-2,22,1074                   
[2019-11-16 22:04:46.515] ,-2,22,1074                   
[2019-11-16 22:04:59.108] ,-2,22,1074                   
